Date,Date,Date.2,Date.1,Close,High,Low,Open,Volume
0,0,1,2020-01-02,0.3541859648470037,0.3220161736500359,0.3593088951758552,0.3353329244331819,0.0639188073097606
1,1,2,2020-01-03,0.3604303466104814,0.3368127461880068,0.3717996492671969,0.3529109855276762,0.0763084435918308
2,2,3,2020-01-06,0.3525886155745234,0.3168297669501356,0.3569851424830439,0.334439194194118,0.1066884613384408
3,3,4,2020-01-07,0.3733545649945677,0.3369652908776543,0.3707830583288665,0.3506765664100435,0.1239760804057115
4,4,5,2020-01-08,0.3689981083268578,0.3377279656204792,0.3686043706369915,0.3566351361492756,0.082086618884502
5,5,6,2020-01-09,0.3775657337506342,0.3467277806161059,0.3851616804083702,0.3608061387170314,0.1597756342871511
6,6,7,2020-01-10,0.3922325893188445,0.3567956078003619,0.3914797834298946,0.3627427503801164,0.1514414576909264
7,7,8,2020-01-13,0.3919422860807571,0.3580160412911718,0.3932953578739659,0.3697442259854666,0.0650226769237026
8,8,9,2020-01-14,0.4019618365727699,0.3723545326111065,0.408399979506457,0.3825550449355086,0.141154470186073
9,9,10,2020-01-15,0.4090776732209098,0.3761682711855236,0.4131931334577576,0.3846407739124566,0.1012940581367331
10,10,11,2020-01-16,0.4206947092780031,0.3866934853211794,0.4245217111755253,0.3980475817674527,0.1624262289929317
11,11,12,2020-01-17,0.4147409033378126,0.3943204586373876,0.4264098545416912,0.4090709493581181,0.1230084324889527
12,12,13,2020-01-20,0.4129982661536886,0.3857782163438157,0.4237955185994866,0.3980475197829252,0.0977593120366415
13,13,14,2020-01-21,0.4064634448595237,0.3778458537617226,0.4146451581999881,0.3962597012312352,0.0943729642099234
14,14,15,2020-01-22,0.4205492850737593,0.3882186788129025,0.4188571937084451,0.3905991273295577,0.1983089794811495
15,15,16,2020-01-23,0.421566027870065,0.3941679996606892,0.4300409558306721,0.4046021640937889,0.1052754986352937
16,16,17,2020-01-24,0.4276651217218989,0.4010323617677032,0.4374480787179646,0.4114545370806546,0.1492783459146957
17,17,18,2020-01-28,0.4143049033102817,0.3807440971496694,0.4195833085953655,0.3935782593439294,0.1153352100456393
18,18,19,2020-01-29,0.422872937611858,0.3927951034274395,0.4285884969833888,0.404602078233877,0.0915772103200022
19,19,20,2020-01-30,0.4349257011112823,0.4016423524976817,0.4361407996463289,0.4105604876283875,0.1694848642458713
