Date,Date,Date.39,Date.38,Date.37,Date.36,Date.35,Date.34,Date.33,Date.32,Date.31,Date.30,Date.29,Date.28,Date.27,Date.26,Date.25,Date.24,Date.23,Date.22,Date.21,Date.20,Date.19,Date.18,Date.17,Date.16,Date.15,Date.14,Date.13,Date.12,Date.11,Date.10,Date.9,Date.8,Date.7,Date.6,Date.5,Date.4,Date.3,Date.2,Date.1,Close,High,Low,Open,Volume
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-01-02,0.3541861891592472,0.3220164208253486,0.3593091166717882,0.3353331554029301,0.0639188073097606
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2020-01-03,0.3604304337790806,0.3368128473295443,0.371799733606646,0.3529110744274772,0.0763084435918308
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2020-01-06,0.3525888401044738,0.3168300145044582,0.3569853642043655,0.3344394253740734,0.1066884613384408
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2020-01-07,0.3733546504016917,0.3369653919959276,0.3707831428047986,0.3506766556168183,0.1239760804057115
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2020-01-08,0.3689981943277344,0.3377280666224382,0.3686044554054247,0.3566352245374373,0.082086618884502
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,2020-01-09,0.3775656822912256,0.346727736462824,0.3851616271734696,0.360806086702484,0.1597756342871511
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2020-01-10,0.3922325358604523,0.356795562726557,0.3914797302902738,0.3627426995910613,0.1514414576909264
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,2020-01-13,0.3919419600767682,0.3580157091749305,0.3932950340989557,0.3697438950675399,0.0650226769237026
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,2020-01-14,0.4019621906660979,0.3723549158727761,0.4084003302523266,0.3825554086816849,0.141154470186073
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,2020-01-15,0.4090776174666577,0.3761682229689957,0.4131930768366566,0.3846407195764485,0.1012940581367331
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,2020-01-16,0.4206946519404351,0.386693435687701,0.4245216530571297,0.3980475254151492,0.1624262289929317
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,2020-01-17,0.4147412556894487,0.3943208404442155,0.426410204051089,0.4090713124630005,0.1230084324889527
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,2020-01-20,0.4129983461576703,0.3857783100177143,0.4237955959581964,0.3980476024816801,0.0977593120366415
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,2020-01-21,0.4064639346318972,0.3778463802067076,0.4146456443626477,0.396260205622895,0.0943729642099234
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,2020-01-22,0.4205495003411745,0.3882189154688853,0.4188574064962757,0.3905993492913397,0.1983089794811495
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,2020-01-23,0.4215658341211612,0.3941678042627459,0.4300407605581186,0.4046019665316545,0.1052754986352937
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,2020-01-24,0.4276653360194784,0.4010325970583457,0.4374482902866216,0.4114547576841734,0.1492783459146957
